Taxon,Comparison,Response,n,Beta,Beta_std,R2,p
Arthropoda,bulk,D50,44,-0.151070067275708,-0.116508046545549,0.0135741249098597,0.451360387823871
Arthropoda,bulk,D90,44,-0.469868679887696,-0.251824167083012,0.0634154111270527,0.09914355541806
Arthropoda,bulk_minus_taxon,D50,44,-0.162559398016359,-0.124546061934255,0.0155117215433312,0.420528192825024
Arthropoda,bulk_minus_taxon,D90,44,-0.624969530270066,-0.316629619686635,0.100254316062903,0.0362570718157025
Bacillariophyceae,bulk,D50,44,10.0184359342489,0.536355508641493,0.287677231650075,0.00017486086619843
Bacillariophyceae,bulk,D90,44,3.48736339762126,0.129745838211073,0.0168339825330938,0.401235503262472
Bacillariophyceae,bulk_minus_taxon,D50,44,4.8158008020093,0.24586760943172,0.0604508813676685,0.107670127141115
Bacillariophyceae,bulk_minus_taxon,D90,44,7.66733158671381,0.247577696157792,0.0612947156348,0.105166921905828
Chlorophyta,bulk,D50,44,-1.62411477011719,-0.0642745327202763,0.00413121555640972,0.678504882766415
Chlorophyta,bulk,D90,44,-4.73087455847163,-0.130108915138885,0.0169283297986177,0.399907805621619
Chlorophyta,bulk_minus_taxon,D50,44,-1.16803383861766,-0.0450608900624919,0.00203048381322446,0.7714774836215
Chlorophyta,bulk_minus_taxon,D90,44,-3.98316062761589,-0.110362789444657,0.0121799452940057,0.475739289388541
Ciliophora,bulk,D50,44,-3.84380016636159,-0.112999703384492,0.012768932964983,0.465194076005054
Ciliophora,bulk,D90,44,-16.5267549108028,-0.337635030832336,0.113997414045152,0.0249991651916432
Ciliophora,bulk_minus_taxon,D50,44,-3.94794661546989,-0.113294044161179,0.0128355404423952,0.464024808962793
Ciliophora,bulk_minus_taxon,D90,44,-17.410552279552,-0.350297058842531,0.122708029433727,0.0197472877000625
Cryptophyta,bulk,D50,44,-5.17574506339501,-0.215901725160239,0.0466135549271669,0.159259917838262
Cryptophyta,bulk,D90,44,-11.1360530569689,-0.322818145621999,0.104211555142826,0.0325754786582385
Cryptophyta,bulk_minus_taxon,D50,44,-5.21686624824338,-0.217342751791099,0.0472378717561273,0.156427267096695
Cryptophyta,bulk_minus_taxon,D90,44,-10.5533572184904,-0.309863967944625,0.0960156786303877,0.04066612692877
Cyanobacteria,bulk,D50,44,8.68155840948451,0.676636274934208,0.457836648556841,4.60350255430399e-07
Cyanobacteria,bulk,D90,44,12.6746115638151,0.686492275496759,0.471271644316718,2.68230841069821e-07
Cyanobacteria,bulk_minus_taxon,D50,44,1.14025925425754,0.166020628771671,0.0275628491777408,0.28145833868509
Cyanobacteria,bulk_minus_taxon,D90,44,3.86628918123785,0.199895189437434,0.0399580867602276,0.19327266428288
Detritus,bulk,D50,44,7.45371206494148,0.344447984201811,0.118644413820691,0.0220447401467841
Detritus,bulk,D90,44,10.4744681785683,0.336377104709249,0.113149556572577,0.0255792595459344
Detritus,bulk_minus_taxon,D50,44,6.02743658266555,0.273448957317445,0.0747743322579979,0.0724878657605021
Detritus,bulk_minus_taxon,D90,44,8.83319441780907,0.282514186481139,0.0798142655630998,0.0631562517601958
Dictyochophyceae,bulk,D50,44,-0.526790968596068,-0.287752149233981,0.082801299388775,0.0582170253012795
Dictyochophyceae,bulk,D90,44,-1.38132168033376,-0.524346646312998,0.274939405499688,0.000258764583070312
Dictyochophyceae,bulk_minus_taxon,D50,44,-0.529782978647111,-0.288732509123361,0.083366461824672,0.0573279026335878
Dictyochophyceae,bulk_minus_taxon,D90,44,-1.37386239221599,-0.523682365067683,0.274243219482882,0.000264323550348663
Dinophyceae,bulk,D50,44,-8.24176831282263,-0.154626797954415,0.0239094466456353,0.316249665296966
