Taxon,Comparison,Response,n,Beta,Beta_std,R2,p
Dinophyceae,bulk,D90,44,-16.4074350014465,-0.213918558897974,0.0457611498409862,0.163219159305181
Dinophyceae,bulk_minus_taxon,D50,44,-11.3337874422514,-0.152731352358357,0.0233268659932125,0.322290443092729
Dinophyceae,bulk_minus_taxon,D90,44,-13.8758852230537,-0.20853008571898,0.0434847966499651,0.174337103773314
Euglenozoa,bulk,D50,44,-0.21614005127012,-0.0509466801673221,0.00259556422007134,0.742589105137806
Euglenozoa,bulk,D90,44,-0.255255724491783,-0.0418118651264143,0.00174823206534935,0.787558833191493
Euglenozoa,bulk_minus_taxon,D50,44,-0.21614005127012,-0.0509466801673221,0.00259556422007134,0.742589105137806
Euglenozoa,bulk_minus_taxon,D90,44,-0.244649243194305,-0.0402410194506257,0.00161933964642558,0.795365750394198
Foraminifera,bulk,D50,44,0.210554425595879,0.158446111835544,0.0251051703558016,0.304296646730668
Foraminifera,bulk,D90,44,0.133194936266271,0.0696543650297365,0.00485173056769561,0.653229718948537
Foraminifera,bulk_minus_taxon,D50,44,0.203764715281028,0.153150010404791,0.0234549256869873,0.320949979397186
Foraminifera,bulk_minus_taxon,D90,44,0.123621342442244,0.0652162481182731,0.004253159018624,0.674054355013124
Haptophyta,bulk,D50,44,-9.09671100254657,-0.302725600297048,0.0916427890752077,0.0457831954272804
Haptophyta,bulk,D90,44,-11.4189119955135,-0.264078405053437,0.0697374040155667,0.0832438219775273
Haptophyta,bulk_minus_taxon,D50,44,-8.5749484783633,-0.269221381971882,0.0724801525108502,0.077196086565855
Haptophyta,bulk_minus_taxon,D90,44,-9.34100232147084,-0.230800056275229,0.0532686659766486,0.131730092067721
Meta,bulk,D50,44,-0.580988775489889,-0.0501140545222642,0.0025114184606605,0.746655625892042
Meta,bulk,D90,44,-2.32125311169974,-0.139141829396537,0.0193604486878148,0.367702845460011
Meta,bulk_minus_taxon,D50,44,-0.580988775489889,-0.0501140545222642,0.0025114184606605,0.746655625892042
Meta,bulk_minus_taxon,D90,44,-2.18822937707816,-0.131713139546962,0.0173483511293177,0.394072039067651
Radiozoa,bulk,D50,44,0.67028405900244,0.0284203754112233,0.000807717738514735,0.854696672128458
Radiozoa,bulk,D90,44,2.78175412926809,0.081965873562542,0.00671840442887051,0.59684755862564
Radiozoa,bulk_minus_taxon,D50,44,0.533986871079679,0.0226632286064523,0.000513621930867902,0.883904238769458
Radiozoa,bulk_minus_taxon,D90,44,2.03429859477074,0.0596946902981268,0.00356345604978936,0.700301100206508
Unidentifiable,bulk,D50,44,-0.151614761579313,-0.00555873789676782,3.08995670047496e-05,0.971432870432956
Unidentifiable,bulk,D90,44,-4.03632652364025,-0.102840555138953,0.0105761797812879,0.506502562214985
Unidentifiable,bulk_minus_taxon,D50,44,2.3956335521335,0.0777991425870672,0.00605270658728274,0.615691061339243
Unidentifiable,bulk_minus_taxon,D90,44,-0.916363652230328,-0.0254400204682696,0.000647194641425819,0.869795387411993
Unknown,bulk,D50,44,4.86444248874751,0.103208400757607,0.0106519739869426,0.504975136035476
Unknown,bulk,D90,44,-4.30469492705754,-0.063469892817921,0.00402842729431852,0.68231618228985
Unknown,bulk_minus_taxon,D50,44,5.48284148320033,0.1073435649943,0.0115226409456854,0.487966792854979
Unknown,bulk_minus_taxon,D90,44,-3.54008218232218,-0.0509925512971891,0.0026002402877966,0.742365271758648
