Group,File,nCruise_total,nCruise_present,detectLimit_um,largeThreshold_um,nBin_used,diamMin,diamMax,p_peak,peakMean_Winter,peakSE_Winter,peakMean_Spring,peakSE_Spring,peakMean_Summer,peakSE_Summer,peakMean_Fall,peakSE_Fall,peakSigPairs,p_largefrac,largeFracMean_Winter,largeFracSE_Winter,largeFracMean_Spring,largeFracSE_Spring,largeFracMean_Summer,largeFracSE_Summer,largeFracMean_Fall,largeFracSE_Fall,largeFracSigPairs,neglog10_pPeak,neglog10_pLarge
Dinophyceae,\\jett\awlab\DATA\IFCB CRUISE DATA\HOT\summary_files\CNN_TS4_2025-02-26_merged_Group2\dinophyceae_uw_all.mat,45,45,7,20,38,7.23798667582109,98.1312863998512,0.122072207043603,10.8629739105781,0.137789408257127,16.2905465835319,5.37056130099799,10.9821020010745,0.181157983950352,10.5296131568653,0.0899404346045413,,0.106808294661038,0.160164250420263,0.019107721817038,0.236189614380246,0.0439695418756712,0.211953468925434,0.0245746782746669,0.180223910754138,0.00864369375809322,,0.913383203389752,0.971395018977526
Pennates,\\jett\awlab\DATA\IFCB CRUISE DATA\HOT\summary_files\CNN_TS4_2025-02-26_merged_Group2\diatom-pennate_uw_all.mat,45,45,7,20,38,7.23798667582109,98.1312863998512,0.25872823428195,16.3164824807483,2.56634686458248,14.5197220033667,1.36403230980167,18.3418420029237,3.40677360680547,23.4023173893129,3.7200598302088,,0.0204655173453105,0.137978865511596,0.0274308419707802,0.234742956824422,0.0423528847791166,0.240049533449981,0.045487111027387,0.310062082959697,0.0409689097144594,Fall > Winter (p=0.0104),0.587156175366299,1.68897727240284
Hemiaulales,\\jett\awlab\DATA\IFCB CRUISE DATA\HOT\summary_files\CNN_TS4_2025-02-26_merged_Group2\diatom-hemiaulales_uw_all.mat,45,45,7,20,38,7.23798667582109,98.1312863998512,0.0163832081715872,28.9953543002753,4.99248304405821,49.8950404498814,4.23574853480407,38.2658965500912,2.61955619619428,45.8911901049585,4.57224093133185,Spring > Winter (p=0.0323); Fall > Winter (p=0.0308),0.206604560706422,0.72693251809974,0.127765613627375,0.975840993695014,0.0105224135662943,0.976331511870342,0.00950575400923621,0.845371471446054,0.0830785254923296,,1.78560105039057,0.684860095847515
Centric,\\jett\awlab\DATA\IFCB CRUISE DATA\HOT\summary_files\CNN_TS4_2025-02-26_merged_Group2\diatom-centric_uw_all.mat,45,45,7,20,38,7.23798667582109,98.1312863998512,0.11003151076799,32.3999041542998,3.98575381940637,49.9132593588551,10.5844336806709,35.6142658495453,2.43443881397775,39.0284005325533,2.79701502985711,,0.0363820230307882,0.511732753525536,0.0627361040810176,0.706137514527391,0.0647741768205716,0.678518205426648,0.0317769360384392,0.61864457039353,0.0293432554379149,,0.958482923996989,1.4391131555562
Tricho,\\jett\awlab\DATA\IFCB CRUISE DATA\HOT\summary_files\CNN_TS4_2025-02-26_merged_Group2\cyanobacteria-trichodesmium_uw_all.mat,45,45,7,20,38,7.23798667582109,98.1312863998512,0.610636389795603,46.8285940671136,5.65833095646945,47.3216713483244,8.38903156435628,53.4290415186573,1.80686000293242,52.1598364191903,1.51625680106174,,0.250916946904408,0.830115332864091,0.111941120183698,0.846956400749599,0.141210710618754,0.987082526759064,0.0072943527524307,0.991189118175878,0.0015633501411712,,0.214217318254658,0.600470005490814
